disaster_id,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,source,iso3,eventtype,GDACS ID,People affected,Countries,Duration (days),Burned area
WF_IND_20210330_81,Green,1,GREEN,1,India,3/30/2021,2021-04-07T00:00:00,5733,GWIS,IND,WF,WF 1000030,0 in the burned area,India,8,5733 ha
WF_IND_20210329_82,Green,1,GREEN,1,India,3/29/2021,2021-04-07T00:00:00,5219,GWIS,IND,WF,WF 1000031,0 in the burned area,India,9,5219 ha
WF_IND_20210321_83,Green,1,GREEN,1,India,3/21/2021,2021-04-07T00:00:00,5475,GWIS,IND,WF,WF 1000079,0 in the burned area,India,17,5475 ha
WF_IND_20210323_84,Green,1,GREEN,1,India,3/23/2021,2021-04-06T00:00:00,5122,GWIS,IND,WF,WF 1000070,0 in the burned area,India,14,5122 ha
WF_IND_20210323_85,Green,1,GREEN,1,India,3/23/2021,2021-04-06T00:00:00,10574,GWIS,IND,WF,WF 1000066,0 in the burned area,India,14,10574 ha
WF_IND_20210318_86,Green,1,GREEN,1,India,3/18/2021,2021-04-06T00:00:00,5829,GWIS,IND,WF,WF 1000087,7329 in the burned area,India,19,5829 ha
WF_IND_20210329_87,Green,1,GREEN,1,India,3/29/2021,2021-04-06T00:00:00,5042,GWIS,IND,WF,WF 1000033,0 in the burned area,India,8,5042 ha
WF_IND_20210328_88,Green,1,GREEN,1,India,3/28/2021,2021-04-06T00:00:00,5810,GWIS,IND,WF,WF 1000034,0 in the burned area,India,9,5810 ha
WF_IND_20210326_89,Green,1,GREEN,1,India,3/26/2021,2021-04-06T00:00:00,7589,GWIS,IND,WF,WF 1000047,802 in the burned area,India,11,7589 ha
WF_IND_20210325_90,Green,1,GREEN,1,India,3/25/2021,2021-04-06T00:00:00,10122,GWIS,IND,WF,WF 1000057,0 in the burned area,India,12,10122 ha
WF_IND_20210326_91,GREEN,1,GREEN,1,India,3/26/2021,2021-04-06T00:00:00,14049,GWIS,IND,WF,WF 1000374,247 in the burned area,India,11,14049 ha
WF_IND_20210322_92,Green,1,GREEN,1,India,3/22/2021,2021-04-05T00:00:00,7229,GWIS,IND,WF,WF 1000074,0 in the burned area,India,14,7229 ha
WF_USA_20210327_93,GREEN,1,GREEN,1,United States,3/27/2021,2021-04-05T00:00:00,8437,GWIS,USA,WF,WF 1000372,33 in the burned area,United States,9,8437 ha
WF_IND_20210323_94,GREEN,1,GREEN,1,India,3/23/2021,2021-04-05T00:00:00,11324,GWIS,IND,WF,WF 1000380,15942 in the burned area,India,13,11324 ha
WF_IND_20210325_95,Green,1,GREEN,1,India,3/25/2021,2021-04-05T00:00:00,6876,GWIS,IND,WF,WF 1000058,0 in the burned area,India,11,6876 ha
WF_IND_20210325_96,Green,1,GREEN,1,India,3/25/2021,2021-04-05T00:00:00,6822,GWIS,IND,WF,WF 1000059,71853 in the burned area,India,11,6822 ha
WF_IND_20210326_97,Green,1,GREEN,1,India,3/26/2021,2021-04-05T00:00:00,5562,GWIS,IND,WF,WF 1000052,0 in the burned area,India,10,5562 ha
WF_IND_20210325_98,Green,1,GREEN,1,India,3/25/2021,2021-04-05T00:00:00,5365,GWIS,IND,WF,WF 1000053,17844 in the burned area,India,11,5365 ha
WF_IND_20210326_99,Green,1,GREEN,1,India,3/26/2021,2021-04-05T00:00:00,7558,GWIS,IND,WF,WF 1000048,13116 in the burned area,India,10,7558 ha
WF_IND_20210327_100,Green,1,GREEN,1,India,3/27/2021,2021-04-05T00:00:00,5906,GWIS,IND,WF,WF 1000042,0 in the burned area,India,9,5906 ha
WF_MEX_20210331_101,Green,1,GREEN,1,Mexico,3/31/2021,2021-04-05T00:00:00,6347,GWIS,MEX,WF,WF 1000028,3115 in the burned area,Mexico,5,6347 ha
WF_NGA_20210323_102,Green,1,GREEN,1,Nigeria,3/23/2021,2021-04-05T00:00:00,5257,GWIS,NGA,WF,WF 1000068,838 in the burned area,Nigeria,13,5257 ha
WF_IND_20210324_103,Green,1,GREEN,1,India,3/24/2021,2021-04-05T00:00:00,6455,GWIS,IND,WF,WF 1000064,4419 in the burned area,India,12,6455 ha
WF_IND_20210321_104,Green,1,GREEN,1,India,3/21/2021,2021-04-05T00:00:00,6379,GWIS,IND,WF,WF 1000076,0 in the burned area,India,15,6379 ha
WF_IND_20210323_105,Green,1,GREEN,1,India,3/23/2021,2021-04-04T00:00:00,5027,GWIS,IND,WF,WF 1000071,5639 in the burned area,India,12,5027 ha
WF_IND_20210322_106,Green,1,GREEN,1,India,3/22/2021,2021-04-04T00:00:00,5230,GWIS,IND,WF,WF 1000073,930 in the burned area,India,13,5230 ha
WF_IND_20210327_107,Green,1,GREEN,1,India,3/27/2021,2021-04-04T00:00:00,5654,GWIS,IND,WF,WF 1000043,4649 in the burned area,India,8,5654 ha
WF_IND_20210327_108,Green,1,GREEN,1,India,3/27/2021,2021-04-04T00:00:00,6787,GWIS,IND,WF,WF 1000046,47 in the burned area,India,8,6787 ha
WF_MEX_20210325_109,Green,1,GREEN,1,Mexico,3/25/2021,2021-04-04T00:00:00,9736,GWIS,MEX,WF,WF 1000056,3172 in the burned area,Mexico,10,9736 ha
WF_IND_20210325_110,Green,1,GREEN,1,India,3/25/2021,2021-04-04T00:00:00,6150,GWIS,IND,WF,WF 1000060,0 in the burned area,India,10,6150 ha
WF_MEX_20210327_111,GREEN,1,GREEN,1,Mexico,3/27/2021,2021-04-04T00:00:00,6763,GWIS,MEX,WF,WF 1000371,13448 in the burned area,Mexico,8,6763 ha
