disaster_id,coordinates,htmldescription,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,source,iso3,eventtype,Death,Displaced,GDACS_ID
FL_UNK_20071121_1252,"[21.786, -34.03]",GREEN Flood in South Africa from: 21 Nov 2007 00 to: 21 Nov 2007 00.,GREEN,1,Green,1,South Africa,11/21/2007,2007-11-21T00:00:00,5.43,DFO,   ,FL,2,1500,FL 3231
FL_UNK_20071121_1253,"[40.249, -2.154]",GREEN Flood in Kenya from: 21 Nov 2007 00 to: 21 Nov 2007 00.,GREEN,1,Green,1,Kenya,11/21/2007,2007-11-21T00:00:00,5.2,DFO,   ,FL,0,6000,FL 3235
FL_UNK_20071230_1254,"[27.767, -15.94]",GREEN Flood in Zambia from: 30 Dec 2007 00 to: 30 Dec 2007 00.,GREEN,1,Green,1,Zambia,12/30/2007,2007-12-30T00:00:00,6.53,DFO,   ,FL,1,3000,FL 3250
FL_UNK_20071225_1255,"[100.616, -0.686]",GREEN Flood in Indonesia from: 25 Dec 2007 00 to: 25 Dec 2007 00.,GREEN,1,Green,1,Indonesia,12/25/2007,2007-12-25T00:00:00,4.65,DFO,   ,FL,1,20000,FL 3248
FL_UNK_20071225_1256,"[111.333, -7.543]",ORANGE Flood in Indonesia from: 25 Dec 2007 00 to: 25 Dec 2007 00.,ORANGE,2,Orange,2,Indonesia,12/25/2007,2007-12-25T00:00:00,5.88,DFO,   ,FL,153,50000,FL 3249
FL_UNK_20080131_1257,"[17.26, -17.049]",GREEN Flood in Namibia from: 31 Jan 2008 00 to: 31 Jan 2008 00.,GREEN,1,Green,1,Namibia,1/31/2008,2008-01-31T00:00:00,7.32,DFO,   ,FL,42,40000,FL 3264
FL_UNK_20080130_1258,"[112.908, -7.708]",GREEN Flood in Indonesia from: 30 Jan 2008 00 to: 30 Jan 2008 00.,GREEN,1,Green,1,Indonesia,1/30/2008,2008-01-30T00:00:00,3.61,DFO,   ,FL,3,40000,FL 3262
FL_UNK_20080130_1259,"[-79.658, -1.248]",ORANGE Flood in Ecuador from: 30 Jan 2008 00 to: 30 Jan 2008 00.,ORANGE,2,Orange,2,Ecuador,1/30/2008,2008-01-30T00:00:00,7.15,DFO,   ,FL,51,265000,FL 3263
FL_UNK_20080128_1260,"[-61.661, -22.917]",GREEN Flood in Argentina from: 28 Jan 2008 00 to: 28 Jan 2008 00.,GREEN,1,Green,1,Argentina,1/28/2008,2008-01-28T00:00:00,6.82,DFO,   ,FL,0,15000,FL 3261
FL_UNK_20080124_1261,"[30.678, -24.126]",GREEN Flood in South Africa from: 24 Jan 2008 00 to: 24 Jan 2008 00.,GREEN,1,Green,1,South Africa,1/24/2008,2008-01-24T00:00:00,5.81,DFO,   ,FL,1,1200,FL 3260
FL_UNK_20080226_1262,"[-7.114, 32.11]",GREEN Flood in Morocco from: 26 Feb 2008 00 to: 26 Feb 2008 00.,GREEN,1,Green,1,Morocco,2/26/2008,2008-02-26T00:00:00,4.85,DFO,   ,FL,4,-,FL 3279
FL_UNK_20080330_1263,"[-42.685, -5.36]",ORANGE Flood in Brazil from: 30 Mar 2008 00 to: 30 Mar 2008 00.,ORANGE,2,Orange,2,Brazil,3/30/2008,2008-03-30T00:00:00,7.43,DFO,   ,FL,36,190000,FL 3291
FL_UNK_20080328_1264,"[35.221, -0.179]",GREEN Flood in Kenya from: 28 Mar 2008 00 to: 28 Mar 2008 00.,GREEN,1,Green,1,Kenya,3/28/2008,2008-03-28T00:00:00,4.38,DFO,   ,FL,3,160,FL 3290
FL_UNK_20080427_1265,"[80.417, 6.685]",GREEN Flood in Sri Lanka from: 27 Apr 2008 00 to: 27 Apr 2008 00.,GREEN,1,Green,1,Sri Lanka,4/27/2008,2008-04-27T00:00:00,4.54,DFO,   ,FL,9,18000,FL 3299
FL_UNK_20080426_1266,"[-81.962, 52.153]",GREEN Flood in Canada from: 26 Apr 2008 00 to: 26 Apr 2008 00.,GREEN,1,Green,1,Canada,4/26/2008,2008-04-26T00:00:00,4.28,DFO,   ,FL,0,2000,FL 3298
FL_UNK_20080425_1267,"[-67.345, 46.353]",GREEN Flood in USA from: 25 Apr 2008 00 to: 25 Apr 2008 00.,GREEN,1,Green,1,USA,4/25/2008,2008-04-25T00:00:00,5.7,DFO,   ,FL,0,2500,FL 3300
FL_UNK_20080423_1268,"[95.772, 4.649]",GREEN Flood in Indonesia from: 23 Apr 2008 00 to: 23 Apr 2008 00.,GREEN,1,Green,1,Indonesia,4/23/2008,2008-04-23T00:00:00,4.32,DFO,   ,FL,0,34514,FL 3296
FL_UNK_20080424_1269,"[95.773, 4.649]",GREEN Flood in Indonesia from: 24 Apr 2008 00 to: 23 Apr 2008 00.,GREEN,1,Green,1,Indonesia,4/24/2008,2008-04-23T00:00:00,3.6,DFO,   ,FL,0,-,FL 3297
FL_UNK_20080531_1270,"[-88.1, 17.3]",GREEN Flood in Belize from: 31 May 2008 00 to: 31 May 2008 00.,GREEN,1,Green,1,Belize,5/31/2008,2008-05-31T00:00:00,5.3,DFO,   ,FL,2,-,FL 3316
FL_UNK_20080529_1271,"[80.77, 7.18]",ORANGE Flood in Sri Lanka from: 29 May 2008 00 to: 29 May 2008 00.,ORANGE,2,Orange,2,Sri Lanka,5/29/2008,2008-05-29T00:00:00,5.69,DFO,   ,FL,23,400000,FL 3314
FL_UNK_20080527_1272,"[105.815, 26.615]",GREEN Flood in China from: 27 May 2008 00 to: 27 May 2008 00.,GREEN,1,Green,1,China,5/27/2008,2008-05-27T00:00:00,6.16,DFO,   ,FL,64,5000,FL 3309
FL_UNK_20080527_1273,"[105.81, 26.62]",Green Flood in China from: 27 May 2008 00 to: 27 May 2008 00.,Green,1,Green,1,China,5/27/2008,2008-05-27T00:00:00,6.03,DFO,   ,FL,,,FL 3310
FL_UNK_20080527_1274,"[-74.07, 6.63]",GREEN Flood in Columbia from: 27 May 2008 00 to: 27 May 2008 00.,GREEN,1,Green,1,Columbia,5/27/2008,2008-05-27T00:00:00,4.85,DFO,   ,FL,0,400,FL 3311
FL_UNK_20080524_1275,"[93.75, 26.4]",GREEN Flood in India from: 24 May 2008 00 to: 24 May 2008 00.,GREEN,1,Green,1,India,5/24/2008,2008-05-24T00:00:00,5.49,DFO,   ,FL,0,-,FL 3312
FL_UNK_20080524_1276,"[-88.4, 36.98]",GREEN Flood in USA from: 24 May 2008 00 to: 24 May 2008 00.,GREEN,1,Green,1,USA,5/24/2008,2008-05-24T00:00:00,6.64,DFO,   ,FL,13,-,FL 3313
FL_UNK_20080627_1277,"[137.194, 35.462]",GREEN Flood in Japan from: 27 Jun 2008 00 to: 27 Jun 2008 00.,GREEN,1,Green,1,Japan,6/27/2008,2008-06-27T00:00:00,5.77,DFO,   ,FL,0,128,FL 3326
FL_UNK_20080624_1278,"[112.304, 23.542]",GREEN Flood in China from: 24 Jun 2008 00 to: 24 Jun 2008 00.,GREEN,1,Green,1,China,6/24/2008,2008-06-24T00:00:00,6.35,DFO,   ,FL,0,-,FL 3325
FL_UNK_20080730_1279,"[151.02, 64.28]",GREEN Flood in USA from: 30 Jul 2008 00 to: 30 Jul 2008 00.,GREEN,1,Green,1,USA,7/30/2008,2008-07-30T00:00:00,6.63,DFO,   ,FL,0,-,FL 3340
FL_UNK_20080730_1280,"[-58.51, 51.97]",GREEN Flood in Canada from: 30 Jul 2008 00 to: 30 Jul 2008 00.,GREEN,1,Green,1,Canada,7/30/2008,2008-07-30T00:00:00,5.81,DFO,   ,FL,0,-,FL 3341
FL_UNK_20080730_1281,"[172.42, -42.22]",GREEN Flood in New Zealand from: 30 Jul 2008 00 to: 30 Jul 2008 00.,GREEN,1,Green,1,New Zealand,7/30/2008,2008-07-30T00:00:00,5.02,DFO,   ,FL,0,-,FL 3342
FL_UNK_20080728_1282,"[136.38, 35.88]",GREEN Flood in Japan from: 28 Jul 2008 00 to: 28 Jul 2008 00.,GREEN,1,Green,1,Japan,7/28/2008,2008-07-28T00:00:00,5.32,DFO,   ,FL,5,50000,FL 3344
FL_UNK_20080728_1283,"[114.41, 32.56]",ORANGE Flood in China from: 28 Jul 2008 00 to: 28 Jul 2008 00.,ORANGE,2,Orange,2,China,7/28/2008,2008-07-28T00:00:00,7.11,DFO,   ,FL,0,93000,FL 3345
FL_UNK_20080728_1284,"[120.97, 23.35]",GREEN Flood in Philippines from: 28 Jul 2008 00 to: 28 Jul 2008 00.,GREEN,1,Green,1,Philippines,7/28/2008,2008-07-28T00:00:00,5.39,DFO,   ,FL,4,76000,FL 3339
FL_UNK_20080722_1285,"[24.38, 48.17]",ORANGE Flood in Ukraine from: 22 Jul 2008 00 to: 22 Jul 2008 00.,ORANGE,2,Orange,2,Ukraine,7/22/2008,2008-07-22T00:00:00,6,DFO,   ,FL,40,172000,FL 3337
FL_UNK_20080721_1286,"[-102.79, 29.79]",GREEN Flood in Mexico from: 21 Jul 2008 00 to: 21 Jul 2008 00.,GREEN,1,Green,1,Mexico,7/21/2008,2008-07-21T00:00:00,6.92,DFO,   ,FL,1,180,FL 3336
FL_UNK_20080830_1287,"[90.21, 21.02]",ORANGE Flood in Bangladesh from: 30 Aug 2008 00 to: 30 Aug 2008 00.,ORANGE,2,Orange,2,Bangladesh,8/30/2008,2008-08-30T00:00:00,5.95,DFO,   ,FL,0,600000,FL 3371
FL_UNK_20080830_1288,"[94.55, 27.044]",RED Flood in India from: 30 Aug 2008 00 to: 30 Aug 2008 00.,RED,3,Red,3,India,8/30/2008,2008-08-30T00:00:00,6.08,DFO,   ,FL,900,1000000,FL 3372
FL_UNK_20080826_1289,"[-71.976, 18.871]",GREEN Flood in Haiti from: 26 Aug 2008 00 to: 26 Aug 2008 00.,GREEN,1,Green,1,Haiti,8/26/2008,2008-08-26T00:00:00,5.17,DFO,   ,FL,22,5000,FL 3369
FL_UNK_20080927_1290,"[-89.331, 15.689]",GREEN Flood in Guatamala from: 27 Sep 2008 00 to: 27 Sep 2008 00.,GREEN,1,Green,1,Guatamala,9/27/2008,2008-09-27T00:00:00,4.69,DFO,   ,FL,0,-,FL 3386
FL_UNK_20080926_1291,"[108.721, 21.935]",GREEN Flood in China from: 26 Sep 2008 00 to: 26 Sep 2008 00.,GREEN,1,Green,1,China,9/26/2008,2008-09-26T00:00:00,4.44,DFO,   ,FL,0,-,FL 3387
FL_UNK_20080925_1292,"[104.593, 21.899]",GREEN Flood in Viet Nam from: 25 Sep 2008 00 to: 25 Sep 2008 00.,GREEN,1,Green,1,Viet Nam,9/25/2008,2008-09-25T00:00:00,5.77,DFO,   ,FL,41,-,FL 3385
FL_UNK_20080922_1293,"[84.406, 20.952]",RED Flood in India from: 22 Sep 2008 00 to: 22 Sep 2008 00.,RED,3,Red,3,India,9/22/2008,2008-09-22T00:00:00,6.87,DFO,   ,FL,2400,-,FL 3382
FL_UNK_20080922_1294,"[78.938, 30.521]",GREEN Flood in Nepal from: 22 Sep 2008 00 to: 22 Sep 2008 00.,GREEN,1,Green,1,Nepal,9/22/2008,2008-09-22T00:00:00,6.43,DFO,   ,FL,49,13000,FL 3383
FL_UNK_20080921_1295,"[-66.554, 18.051]",GREEN Flood in Puerto Rico from: 21 Sep 2008 00 to: 21 Sep 2008 00.,GREEN,1,Green,1,Puerto Rico,9/21/2008,2008-09-21T00:00:00,3.87,DFO,   ,FL,4,-,FL 3381
FL_UNK_20081027_1296,"[106.323, 20.74]",GREEN Flood in Viet Nam from: 27 Oct 2008 00 to: 27 Oct 2008 00.,GREEN,1,Green,1,Viet Nam,10/27/2008,2008-10-27T00:00:00,6.08,DFO,   ,FL,92,3000,FL 3400
FL_UNK_20081023_1297,"[49.784, 15.545]",GREEN Flood in Yemen from: 23 Oct 2008 00 to: 23 Oct 2008 00.,GREEN,1,Green,1,Yemen,10/23/2008,2008-10-23T00:00:00,5.73,DFO,   ,FL,69,6800,FL 3398
FL_UNK_20081023_1298,"[-4.774, 33.731]",GREEN Flood in Morocco from: 23 Oct 2008 00 to: 23 Oct 2008 00.,GREEN,1,Green,1,Morocco,10/23/2008,2008-10-23T00:00:00,6.55,DFO,   ,FL,28,1200,FL 3399
FL_UNK_20081126_1299,"[12.188, 45.024]",GREEN Flood in Costa Rica from: 26 Nov 2008 00 to: 26 Nov 2008 00.,GREEN,1,Green,1,Costa Rica,11/26/2008,2008-11-26T00:00:00,4.12,DFO,   ,FL,7,46000,FL 3414
FL_UNK_20081229_1300,"[-123.769, 42.84]",GREEN Flood in Malaysia from: 29 Dec 2008 00 to: 29 Dec 2008 00.,GREEN,1,Green,1,Malaysia,12/29/2008,2008-12-29T00:00:00,5.89,DFO,   ,FL,0,10000,FL 3430
FL_UNK_20081229_1301,"[107.058, 16.887]",GREEN Flood in USA from: 29 Dec 2008 00 to: 29 Dec 2008 00.,GREEN,1,Green,1,USA,12/29/2008,2008-12-29T00:00:00,5.93,DFO,   ,FL,0,-,FL 3431
FL_UNK_20081228_1302,"[125.04, 8.447]",GREEN Flood in Mozambique from: 28 Dec 2008 00 to: 28 Dec 2008 00.,GREEN,1,Green,1,Mozambique,12/28/2008,2008-12-28T00:00:00,5.92,DFO,   ,FL,25,3500,FL 3427
FL_UNK_20081228_1303,"[101.098, 6.641]",GREEN Flood in Australia from: 28 Dec 2008 00 to: 28 Dec 2008 00.,GREEN,1,Green,1,Australia,12/28/2008,2008-12-28T00:00:00,6.26,DFO,   ,FL,0,-,FL 3429
FL_UNK_20081226_1304,"[-123.524, 44.656]",GREEN Flood in USA from: 26 Dec 2008 00 to: 26 Dec 2008 00.,GREEN,1,Green,1,USA,12/26/2008,2008-12-26T00:00:00,5.3,DFO,   ,FL,0,-,FL 3424
FL_UNK_20081226_1305,"[103.139, -3.33]",GREEN Flood in USA from: 26 Dec 2008 00 to: 26 Dec 2008 00.,GREEN,1,Green,1,USA,12/26/2008,2008-12-26T00:00:00,5.58,DFO,   ,FL,0,-,FL 3425
FL_UNK_20081226_1306,"[34.027, -22.924]",GREEN Flood in Indonesia from: 26 Dec 2008 00 to: 26 Dec 2008 00.,GREEN,1,Green,1,Indonesia,12/26/2008,2008-12-26T00:00:00,6.36,DFO,   ,FL,24,-,FL 3426
FL_UNK_20090128_1307,"[113.773, 3.345]",GREEN Flood in Indonesia from: 28 Jan 2009 00 to: 28 Jan 2009 00.,GREEN,1,Green,1,Indonesia,1/28/2009,2009-01-28T00:00:00,5.49,DFO,   ,FL,18,12000,FL 3443
FL_UNK_20090126_1308,"[0.706, 29.613]",GREEN Flood in Australia from: 26 Jan 2009 00 to: 26 Jan 2009 00.,GREEN,1,Green,1,Australia,1/26/2009,2009-01-26T00:00:00,6.94,DFO,   ,FL,0,400,FL 3440
FL_UNK_20090126_1309,"[46.519, -17.689]",GREEN Flood in Algeria from: 26 Jan 2009 00 to: 26 Jan 2009 00.,GREEN,1,Green,1,Algeria,1/26/2009,2009-01-26T00:00:00,5.62,DFO,   ,FL,33,-,FL 3441
FL_UNK_20090126_1310,"[150.686, -29.415]",GREEN Flood in Philippines from: 26 Jan 2009 00 to: 26 Jan 2009 00.,GREEN,1,Green,1,Philippines,1/26/2009,2009-01-26T00:00:00,5.93,DFO,   ,FL,5,200,FL 3438
FL_UNK_20090228_1311,"[-91.01, 41.676]",GREEN Flood in South Africa from: 28 Feb 2009 00 to: 28 Feb 2009 00.,GREEN,1,Green,1,South Africa,2/28/2009,2009-02-28T00:00:00,5.58,DFO,   ,FL,5,300,FL 3460
FL_UNK_20090227_1312,"[151.35, -32.456]",ORANGE Flood in Zambia from: 27 Feb 2009 00 to: 27 Feb 2009 00.,ORANGE,2,Orange,2,Zambia,2/27/2009,2009-02-27T00:00:00,6.82,DFO,   ,FL,150,54000,FL 3468
FL_UNK_20090223_1313,"[30.802, -29.415]",GREEN Flood in Indonesia from: 23 Feb 2009 00 to: 23 Feb 2009 00.,GREEN,1,Green,1,Indonesia,2/23/2009,2009-02-23T00:00:00,6.1,DFO,   ,FL,1,20000,FL 3459
FL_UNK_20090330_1314,"[106.364, -6.555]",GREEN Flood in Indonesia from: 30 Mar 2009 00 to: 30 Mar 2009 00.,GREEN,1,Green,1,Indonesia,3/30/2009,2009-03-30T00:00:00,4.58,DFO,   ,FL,0,1000,FL 3466
FL_UNK_20090330_1315,"[-85.234, 30.838]",GREEN Flood in Australia from: 30 Mar 2009 00 to: 30 Mar 2009 00.,GREEN,1,Green,1,Australia,3/30/2009,2009-03-30T00:00:00,5.39,DFO,   ,FL,0,-,FL 3469
FL_UNK_20090327_1316,"[24.23, -18.76]",GREEN Flood in Indonesia from: 27 Mar 2009 00 to: 27 Mar 2009 00.,GREEN,1,Green,1,Indonesia,3/27/2009,2009-03-27T00:00:00,6.06,DFO,   ,FL,99,1600,FL 3467
FL_UNK_20090324_1317,"[100.731, -1.207]",GREEN Flood in USA from: 24 Mar 2009 00 to: 24 Mar 2009 00.,GREEN,1,Green,1,USA,3/24/2009,2009-03-24T00:00:00,6.4,DFO,   ,FL,0,5000,FL 3465
FL_UNK_20090525_1318,"[-0.1, 5.733]",ORANGE Flood in Bangladesh from: 25 May 2009 00 to: 25 May 2009 00.,ORANGE,2,Orange,2,Bangladesh,5/25/2009,2009-05-25T00:00:00,4.45,DFO,   ,FL,115,20000,FL 3486
FL_UNK_20090728_1319,"[38.109, 40.697]",GREEN Flood in Türkiye from: 28 Jul 2009 00 to: 28 Jul 2009 00.,GREEN,1,Green,1,Türkiye,7/28/2009,2009-07-28T00:00:00,4.29,DFO,   ,FL,0,-,FL 3517
FL_UNK_20090726_1320,"[101.18, 30.859]",GREEN Flood in China from: 26 Jul 2009 00 to: 26 Jul 2009 00.,GREEN,1,Green,1,China,7/26/2009,2009-07-26T00:00:00,6.3,DFO,   ,FL,22,-,FL 3514
FL_UNK_20090726_1321,"[130.571, 33.298]",GREEN Flood in Japan from: 26 Jul 2009 00 to: 26 Jul 2009 00.,GREEN,1,Green,1,Japan,7/26/2009,2009-07-26T00:00:00,4.29,DFO,   ,FL,28,-,FL 3515
FL_UNK_20090726_1322,"[85.708, 28.001]",GREEN Flood in Nepal from: 26 Jul 2009 00 to: 26 Jul 2009 00.,GREEN,1,Green,1,Nepal,7/26/2009,2009-07-26T00:00:00,4.75,DFO,   ,FL,22,-,FL 3516
FL_UNK_20090828_1323,"[2.936, 16.454]",ORANGE Flood in China from: 28 Aug 2009 00 to: 28 Aug 2009 00.,ORANGE,2,Orange,2,China,8/28/2009,2009-08-28T00:00:00,7.38,DFO,   ,FL,12,118000,FL 3534
FL_UNK_20090929_1324,"[-173.454, -13.836]",GREEN Flood in American Samoa from: 29 Sep 2009 00 to: 29 Sep 2009 00.,GREEN,1,Orange,2,American Samoa,9/29/2009,2009-09-29T00:00:00,5.62,DFO,   ,FL,100,-,FL 3549
FL_UNK_20090928_1325,"[107.982, 14.902]",ORANGE Flood in Viet Nam from: 28 Sep 2009 00 to: 28 Sep 2009 00.,ORANGE,2,Orange,2,Viet Nam,9/28/2009,2009-09-28T00:00:00,5.59,DFO,   ,FL,182,357000,FL 3548
