Disaster_Event_Id,Alert_Level,Alert_Score,Episode_Alert_Level,Episode_Alert_Score,Country,From_Date,To_Date,Severity,Source,Iso3,Event_Type,GDACS_ID,People_Affected,Duration (days),Burned_Area
WF_IND_20210330_81,Green,1,GREEN,1,India,3/30/2021,4/7/2021,5733,GWIS,IND,WF,WF 1000030,0,8,5733 hectare
WF_IND_20210329_82,Green,1,GREEN,1,India,3/29/2021,4/7/2021,5219,GWIS,IND,WF,WF 1000031,0,9,5219 hectare
WF_IND_20210321_83,Green,1,GREEN,1,India,3/21/2021,4/7/2021,5475,GWIS,IND,WF,WF 1000079,0,17,5475 hectare
WF_IND_20210323_84,Green,1,GREEN,1,India,3/23/2021,4/6/2021,5122,GWIS,IND,WF,WF 1000070,0,14,5122 hectare
WF_IND_20210323_85,Green,1,GREEN,1,India,3/23/2021,4/6/2021,10574,GWIS,IND,WF,WF 1000066,0,14,10574 hectare
WF_IND_20210318_86,Green,1,GREEN,1,India,3/18/2021,4/6/2021,5829,GWIS,IND,WF,WF 1000087,7329,19,5829 hectare
WF_IND_20210329_87,Green,1,GREEN,1,India,3/29/2021,4/6/2021,5042,GWIS,IND,WF,WF 1000033,0,8,5042 hectare
WF_IND_20210328_88,Green,1,GREEN,1,India,3/28/2021,4/6/2021,5810,GWIS,IND,WF,WF 1000034,0,9,5810 hectare
WF_IND_20210326_89,Green,1,GREEN,1,India,3/26/2021,4/6/2021,7589,GWIS,IND,WF,WF 1000047,802,11,7589 hectare
WF_IND_20210325_90,Green,1,GREEN,1,India,3/25/2021,4/6/2021,10122,GWIS,IND,WF,WF 1000057,0,12,10122 hectare
WF_IND_20210326_91,GREEN,1,GREEN,1,India,3/26/2021,4/6/2021,14049,GWIS,IND,WF,WF 1000374,247,11,14049 hectare
WF_IND_20210322_92,Green,1,GREEN,1,India,3/22/2021,4/5/2021,7229,GWIS,IND,WF,WF 1000074,0,14,7229 hectare
WF_USA_20210327_93,GREEN,1,GREEN,1,United States,3/27/2021,4/5/2021,8437,GWIS,USA,WF,WF 1000372,33,9,8437 hectare
WF_IND_20210323_94,GREEN,1,GREEN,1,India,3/23/2021,4/5/2021,11324,GWIS,IND,WF,WF 1000380,15942,13,11324 hectare
WF_IND_20210325_95,Green,1,GREEN,1,India,3/25/2021,4/5/2021,6876,GWIS,IND,WF,WF 1000058,0,11,6876 hectare
WF_IND_20210325_96,Green,1,GREEN,1,India,3/25/2021,4/5/2021,6822,GWIS,IND,WF,WF 1000059,71853,11,6822 hectare
WF_IND_20210326_97,Green,1,GREEN,1,India,3/26/2021,4/5/2021,5562,GWIS,IND,WF,WF 1000052,0,10,5562 hectare
WF_IND_20210325_98,Green,1,GREEN,1,India,3/25/2021,4/5/2021,5365,GWIS,IND,WF,WF 1000053,17844,11,5365 hectare
WF_IND_20210326_99,Green,1,GREEN,1,India,3/26/2021,4/5/2021,7558,GWIS,IND,WF,WF 1000048,13116,10,7558 hectare
WF_IND_20210327_100,Green,1,GREEN,1,India,3/27/2021,4/5/2021,5906,GWIS,IND,WF,WF 1000042,0,9,5906 hectare
WF_MEX_20210331_101,Green,1,GREEN,1,Mexico,3/31/2021,4/5/2021,6347,GWIS,MEX,WF,WF 1000028,3115,5,6347 hectare
WF_NGA_20210323_102,Green,1,GREEN,1,Nigeria,3/23/2021,4/5/2021,5257,GWIS,NGA,WF,WF 1000068,838,13,5257 hectare
WF_IND_20210324_103,Green,1,GREEN,1,India,3/24/2021,4/5/2021,6455,GWIS,IND,WF,WF 1000064,4419,12,6455 hectare
WF_IND_20210321_104,Green,1,GREEN,1,India,3/21/2021,4/5/2021,6379,GWIS,IND,WF,WF 1000076,0,15,6379 hectare
WF_IND_20210323_105,Green,1,GREEN,1,India,3/23/2021,4/4/2021,5027,GWIS,IND,WF,WF 1000071,5639,12,5027 hectare
WF_IND_20210322_106,Green,1,GREEN,1,India,3/22/2021,4/4/2021,5230,GWIS,IND,WF,WF 1000073,930,13,5230 hectare
WF_IND_20210327_107,Green,1,GREEN,1,India,3/27/2021,4/4/2021,5654,GWIS,IND,WF,WF 1000043,4649,8,5654 hectare
WF_IND_20210327_108,Green,1,GREEN,1,India,3/27/2021,4/4/2021,6787,GWIS,IND,WF,WF 1000046,47,8,6787 hectare
WF_MEX_20210325_109,Green,1,GREEN,1,Mexico,3/25/2021,4/4/2021,9736,GWIS,MEX,WF,WF 1000056,3172,10,9736 hectare
WF_IND_20210325_110,Green,1,GREEN,1,India,3/25/2021,4/4/2021,6150,GWIS,IND,WF,WF 1000060,0,10,6150 hectare
WF_MEX_20210327_111,GREEN,1,GREEN,1,Mexico,3/27/2021,4/4/2021,6763,GWIS,MEX,WF,WF 1000371,13448,8,6763 hectare
WF_MMR_20210315_112,Green,1,GREEN,1,Myanmar,3/15/2021,4/3/2021,5258,GWIS,MMR,WF,WF 1000097,0,19,5258 hectare
WF_CHN_20210326_113,Green,1,GREEN,1,China,3/26/2021,4/3/2021,5628,GWIS,CHN,WF,WF 1000050,0,8,5628 hectare
