Disaster_Event_Id,Alert_Level,Alert_Score,Episode_Alert_Level,Episode_Alert_Score,Country,From_Date,To_Date,Severity,Source,Iso3,Event_Type,Death,Displaced,GDACS_ID,,,,
FL_AUS_20001215_115,Green,1,Green,1,Australia,12/15/2000,1/9/2001,6.77,DFO,AUS,FL,0,300,FL 1680,,,,
FL_TZA_20001201_116,Red,3,Red,3,United Republic Of Tanzania,12/1/2000,12/31/2000,5.77,DFO,TZA,FL,3600,0,FL 1675,,,,
FL_HRV_20001228_117,Green,1,Green,1,Croatia,12/28/2000,12/30/2000,3.5,DFO,HRV,FL,0,2000,FL 1682,,,,
FL_LKA_20001224_118,Orange,2,Orange,2,Sri Lanka,12/24/2000,12/28/2000,4.84,DFO,LKA,FL,5,300000,FL 1681,,,,
FL_BRA_20001217_119,Green,1,Green,1,Brazil,12/17/2000,12/26/2000,6.76,DFO,BRA,FL,13,2000,FL 1679,,,,
FL_PHL_20001208_120,Green,1,Green,1,Philippines,12/8/2000,12/11/2000,3.94,DFO,PHL,FL,11,55000,FL 1678,,,,
FL_IDN_20001203_121,Green,1,Green,1,Indonesia,12/3/2000,12/6/2000,3.67,DFO,IDN,FL,9,3000,FL 1677,,,,
FL_PHL_20001130_122,Green,1,Green,1,Philippines,11/30/2000,12/3/2000,4.76,DFO,PHL,FL,12,70000,FL 1673,,,,
FL_IDN_20001130_123,Green,1,Green,1,Indonesia,11/30/2000,12/3/2000,4.4,DFO,IDN,FL,14,30000,FL 1676,,,,
FL_IRN_20001130_124,Green,1,Green,1,Islamic Republic Of Iran,11/30/2000,12/2/2000,5.4,DFO,IRN,FL,0,0,FL 1674,,,,
FL_AUS_20001117_125,Green,1,Green,1,Australia,11/17/2000,12/2/2000,6.55,DFO,AUS,FL,0,600,FL 1667,,,,
FL_IDN_20001121_126,Orange,2,Orange,2,Indonesia,11/21/2000,12/1/2000,6.58,DFO,IDN,FL,243,68682,FL 1671,,,,
FL_MOZ_20010101_127,Orange,2,Orange,2,Mozambique,1/1/2001,4/27/2001,7.37,DFO,MOZ,FL,146,485000,FL 1683,,,,
FL_BOL_20010101_128,Orange,2,Orange,2,Plurinational State Of Bolivia,1/1/2001,3/22/2001,6.94,DFO,BOL,FL,18,300000,FL 1689,,,,
FL_PRT_20010126_129,Green,1,Green,1,Portugal,1/26/2001,1/29/2001,4.91,DFO,PRT,FL,6,300,FL 1691,,,,
FL_MYS_20010116_130,Green,1,Green,1,Malaysia,1/16/2001,1/21/2001,5.02,DFO,MYS,FL,2,5000,FL 1688,,,,
FL_TZA_20010120_131,Green,1,Green,1,United Republic Of Tanzania,1/20/2001,1/20/2001,4.4,DFO,TZA,FL,13,120,FL 1690,,,,
FL_PHL_20010115_132,Green,1,Green,1,Philippines,1/15/2001,1/15/2001,2.93,DFO,PHL,FL,2,12000,FL 1687,,,,
FL_KEN_20010113_133,Green,1,Green,1,Kenya,1/13/2001,1/14/2001,3.94,DFO,KEN,FL,4,0,FL 1686,,,,
FL_AUS_20001215_134,Green,1,Green,1,Australia,12/15/2000,1/9/2001,6.77,DFO,AUS,FL,0,300,FL 1680,,,,
FL_FRA_20010105_135,Green,1,Green,1,France,1/5/2001,1/7/2001,4.07,DFO,FRA,FL,0,80,FL 1685,,,,
FL_MWI_20010104_136,Green,1,Green,1,Malawi,1/4/2001,1/4/2001,4.02,DFO,MWI,FL,5,14,FL 1684,,,,
FL_MOZ_20010101_137,Orange,2,Orange,2,Mozambique,1/1/2001,4/27/2001,7.37,DFO,MOZ,FL,146,485000,FL 1683,,,,
FL_BOL_20010101_138,Orange,2,Orange,2,Plurinational State Of Bolivia,1/1/2001,3/22/2001,6.94,DFO,BOL,FL,18,300000,FL 1689,,,,
FL_USA_20010227_139,Green,1,Green,1,Usa,2/27/2001,3/1/2001,2.16,DFO,USA,FL,0,200,FL 1697,,,,
FL_TZA_20010227_140,Green,1,Green,1,United Republic Of Tanzania,2/27/2001,2/27/2001,2.04,DFO,TZA,FL,7,0,FL 1698,,,,
FL_AUS_20010218_141,Green,1,Green,1,Australia,2/18/2001,2/23/2001,5.28,DFO,AUS,FL,0,670,FL 1696,,,,
FL_BOL_20010216_142,Orange,2,Orange,2,Plurinational State Of Bolivia,2/16/2001,2/22/2001,3.66,DFO,BOL,FL,19,200000,FL 1695,,,,
FL_PHL_20010216_143,Orange,2,Orange,2,Philippines,2/16/2001,2/19/2001,4.38,DFO,PHL,FL,17,98360,FL 1694,,,,
FL_IDN_20010204_144,Orange,2,Orange,2,Indonesia,2/4/2001,2/18/2001,5.83,DFO,IDN,FL,131,81600,FL 1693,,,,
FL_AUS_20010201_145,Green,1,Green,1,Australia,2/1/2001,2/6/2001,5.82,DFO,AUS,FL,1,300,FL 1692,,,,
FL_MOZ_20010101_146,Orange,2,Orange,2,Mozambique,1/1/2001,4/27/2001,7.37,DFO,MOZ,FL,146,485000,FL 1683,,,,
FL_FRA_20010321_147,Green,1,Green,1,France,3/21/2001,3/28/2001,5.8,DFO,FRA,FL,0,1400,FL 1706,,,,
FL_PRT_20010321_148,Green,1,Green,1,Portugal,3/21/2001,3/22/2001,3.21,DFO,PRT,FL,3,200,FL 1707,,,,
FL_BOL_20010101_149,Orange,2,Orange,2,Plurinational State Of Bolivia,1/1/2001,3/22/2001,6.94,DFO,BOL,FL,18,300000,FL 1689,,,,
FL_PER_20010301_150,Green,1,Green,1,Peru,3/1/2001,3/21/2001,5.56,DFO,PER,FL,0,10800,FL 1708,,,,
FL_SUA_20010317_151,Green,1,Green,1,Saudi Arabia,3/17/2001,3/19/2001,3.96,DFO,SAU,FL,6,0,FL 1705,,,,
FL_DEU_20010304_152,Orange,2,Orange,2,Germany,3/4/2001,3/17/2001,5.93,DFO,DEU,FL,8,91000,FL 1699,,,,
FL_AUS_20010308_153,Green,1,Green,1,Australia,3/8/2001,3/15/2001,5.69,DFO,AUS,FL,3,3000,FL 1703,,,,
FL_ECU_20010308_154,Green,1,Green,1,Ecuador,3/8/2001,3/10/2001,3.84,DFO,ECU,FL,11,1200,FL 1704,,,,
FL_MYS_20010308_155,Green,1,Green,1,Malaysia,3/8/2001,3/8/2001,2.87,DFO,MYS,FL,0,12000,FL 1701,,,,
FL_TUR_20010308_156,Green,1,Green,1,Türkiye,3/8/2001,3/8/2001,3.69,DFO,TUR,FL,4,600,FL 1702,,,,
FL_ESP_20010306_157,Green,1,Green,1,Spain,3/6/2001,3/7/2001,4.97,DFO,ESP,FL,1,0,FL 1700,,,,
FL_USA_20010227_158,Green,1,Green,1,Usa,2/27/2001,3/1/2001,2.16,DFO,USA,FL,0,200,FL 1697,,,,
FL_URY_20010430_159,Green,1,Green,1,Uruguay,4/30/2001,6/2/2001,5.37,DFO,URY,FL,0,5000,FL 1718,,,,
FL_USA_20010415_160,Green,1,Green,1,Usa,4/15/2001,5/15/2001,6.59,DFO,USA,FL,1,4400,FL 1712,,,,
FL_FRA_20010407_161,Green,1,Green,1,France,4/7/2001,5/2/2001,5.68,DFO,FRA,FL,0,1029,FL 1710,,,,
FL_BLR_20010429_162,Green,1,Green,1,Belarus,4/29/2001,5/1/2001,4.72,DFO,BLR,FL,0,0,FL 1717,,,,
FL_MOZ_20010101_163,Orange,2,Orange,2,Mozambique,1/1/2001,4/27/2001,7.37,DFO,MOZ,FL,146,485000,FL 1683,,,,
FL_PER_20010425_164,Green,1,Green,1,Peru,4/25/2001,4/26/2001,4.47,DFO,PER,FL,9,300,FL 1713,,,,
FL_BRA_20010425_165,Green,1,Green,1,Brazil,4/25/2001,4/26/2001,4.02,DFO,BRA,FL,15,4500,FL 1714,,,,
FL_POL_20010422_166,Green,1,Green,1,Poland,4/22/2001,4/26/2001,4.19,DFO,POL,FL,0,0,FL 1715,,,,
FL_MYS_20010426_167,Green,1,Green,1,Malaysia,4/26/2001,4/26/2001,2.93,DFO,MYS,FL,2,0,FL 1716,,,,
FL_ANG_20010414_168,Green,1,Green,1,Angola,4/14/2001,4/15/2001,4.17,DFO,AGO,FL,18,300,FL 1711,,,,
FL_ANG_20010402_169,Green,1,Green,1,Angola,4/2/2001,4/9/2001,5.3,DFO,AGO,FL,20,15800,FL 1709,,,,
FL_URY_20010430_170,Green,1,Green,1,Uruguay,4/30/2001,6/2/2001,5.37,DFO,URY,FL,0,5000,FL 1718,,,,
FL_USA_20010524_171,Green,1,Green,1,Usa,5/24/2001,5/30/2001,4.46,DFO,USA,FL,0,32,FL 1729,,,,
FL_SLV_20010525_172,Green,1,Green,1,El Salvador,5/25/2001,5/30/2001,2.98,DFO,SLV,FL,2,0,FL 1730,,,,
FL_HTI_20010516_173,Green,1,Green,1,Haiti,5/16/2001,5/18/2001,4.37,DFO,HTI,FL,15,0,FL 1727,,,,
FL_COD_20010518_174,Green,1,Green,1,Congo,5/18/2001,5/18/2001,3.38,DFO,COG,FL,30,0,FL 1728,,,,
FL_VNM_20010515_175,Green,1,Green,1,Viet Nam,5/15/2001,5/17/2001,4.23,DFO,VNM,FL,2,0,FL 1726,,,,
FL_RUS_20010501_176,Green,1,Green,1,Russia,5/1/2001,5/17/2001,5.44,DFO,RUS,FL,0,15000,FL 1719,,,,
FL_USA_20010415_177,Green,1,Green,1,Usa,4/15/2001,5/15/2001,6.59,DFO,USA,FL,1,4400,FL 1712,,,,
FL_UNK_20010512_178,Green,1,Green,1,Russia,5/12/2001,5/12/2001,8.2,DFO,RUS,FL,7,70000,FL 1725,,,,
FL_COL_20010508_179,Green,1,Green,1,Colombia,5/8/2001,5/10/2001,4.67,DFO,COL,FL,0,5000,FL 1724,,,,
FL_TUR_20010507_180,Green,1,Green,1,Türkiye,5/7/2001,5/8/2001,3.51,DFO,TUR,FL,4,0,FL 1722,,,,
FL_USA_20010506_181,Green,1,Green,1,Usa,5/6/2001,5/7/2001,2.69,DFO,USA,FL,2,0,FL 1723,,,,
FL_IRN_20010506_182,Green,1,Green,1,Islamic Republic Of Iran,5/6/2001,5/6/2001,3.33,DFO,IRN,FL,32,800,FL 1721,,,,
FL_THA_20010504_183,Green,1,Green,1,Thailand,5/4/2001,5/5/2001,4.6,DFO,THA,FL,30,4000,FL 1720,,,,
FL_FRA_20010407_184,Green,1,Green,1,France,4/7/2001,5/2/2001,5.68,DFO,FRA,FL,0,1029,FL 1710,,,,
